tokenID	talker	consonant	repetition	place	voicing	vowel	closureDur	closureInt	burstInt
89	3	b	4	bilabial	voiced	&	0.054020512	71.92430652	77.59161691
90	1	g	2	velar	voiced	&	0.037830032	72.55746344	73.76886768
91	5	k	3	velar	voiceless	i	0.064291198	50.62005994	54.70996653
92	10	g	3	velar	voiced	u	0.05196962	65.16454835	70.54916097
93	1	p	4	bilabial	voiceless	a	0.093212941	61.52787174	64.82206404
94	4	b	5	bilabial	voiced	u	0.025649803	71.93163301	62.00310851
95	3	b	2	bilabial	voiced	a	0.053694894	72.588305	78.36706849
96	1	b	2	bilabial	voiced	a	0.106822472	69.65304263	77.42480878
97	2	b	5	bilabial	voiced	a	0.091216883	68.87538746	78.87986085
98	9	k	6	velar	voiceless	u	0.032559343	61.65648644	56.38037722
99	3	g	1	velar	voiced	&	0.040488574	73.54423402	75.17228091
100	6	g	6	velar	voiced	&	0.038431465	66.47263374	68.90616016
101	10	k	1	velar	voiceless	a	0.039191933	54.35553202	49.32004109
102	5	k	4	velar	voiceless	i	0.082765231	51.69921083	52.10794862
103	8	d	1	alveolar	voiced	u	0.042724174	76.24344847	76.07097086
104	2	p	6	bilabial	voiceless	a	0.080507899	68.86639201	76.36811963
105	5	k	6	velar	voiceless	a	0.085247524	66.4977697	75.48705914
106	5	k	1	velar	voiceless	u	0.030817464	62.018411	55.37835606
107	5	g	5	velar	voiced	a	0.056128634	73.13862287	76.34138814
108	1	d	3	alveolar	voiced	&	0.055403151	73.76180639	75.17108468
109	5	k	2	velar	voiceless	&	0.040548753	51.69199985	42.82653548
110	2	p	6	bilabial	voiceless	u	0.095319677	68.47409837	75.13466021
111	1	b	5	bilabial	voiced	&	0.061104481	71.59357897	77.12588121
112	11	p	6	bilabial	voiceless	a	0.11380757	65.4774362	77.78055302
113	1	k	3	velar	voiceless	a	0.084286677	55.97499005	63.51133568
114	4	p	2	bilabial	voiceless	a	0.053549776	72.7482942	68.09611073
115	9	p	3	bilabial	voiceless	u	0.065305475	64.43712789	67.32573415
116	12	t	4	alveolar	voiceless	i	0.028191916	65.11475194	67.50967279
117	3	t	1	alveolar	voiceless	u	0.060788988	67.97507105	69.91218399
118	1	g	2	velar	voiced	i	0.137382341	72.29405163	59.36921961
119	9	b	4	bilabial	voiced	a	0.053088614	67.97619222	71.59340665
120	10	k	4	velar	voiceless	a	0.055182138	53.94818519	58.69988543
121	12	t	4	alveolar	voiceless	u	0.058782952	64.69057053	66.13343415
123	6	t	4	alveolar	voiceless	&	0.032235895	62.35401567	69.21404694
124	1	g	6	velar	voiced	a	0.087152362	73.35474441	72.29844726
125	6	p	1	bilabial	voiceless	i	0.089660127	65.38822372	73.54905028
126	12	b	2	bilabial	voiced	&	0.034131373	74.21481697	75.05090425
127	4	d	2	alveolar	voiced	&	0.022604458	77.38105257	78.42713675
128	8	b	2	bilabial	voiced	a	0.075820081	70.68075043	76.56023731
129	8	p	2	bilabial	voiceless	&	0.064982665	64.49690997	68.71955926
130	4	k	5	velar	voiceless	i	0.079767448	54.37707819	61.3980228
131	12	b	6	bilabial	voiced	a	0.044167587	66.86076786	70.60398538
132	10	p	1	bilabial	voiceless	u	0.052498176	53.45776234	49.66305407
133	9	b	4	bilabial	voiced	a	0.057636852	70.06136749	76.5017001
134	12	g	6	velar	voiced	u	0.076921067	71.58143752	74.63327188
135	11	b	2	bilabial	voiced	a	0.070482532	72.63812054	76.44596957
136	11	t	4	alveolar	voiceless	a	0.048038868	55.71630252	62.98429708
137	9	t	2	alveolar	voiceless	a	0.028380121	71.47433134	59.64156452
138	4	t	5	alveolar	voiceless	&	0.068331879	65.17255945	63.42658997
139	6	d	3	alveolar	voiced	i	0.046511973	67.92376375	67.69431746
140	3	t	2	alveolar	voiceless	a	0.046346633	70.62357236	64.64028371
141	12	t	1	alveolar	voiceless	&	0.038148112	62.79577193	59.8585209
142	10	t	3	alveolar	voiceless	u	0.043198446	61.08341909	62.59187619
143	5	t	2	alveolar	voiceless	u	0.070674737	60.21032384	60.3192495
144	12	g	2	velar	voiced	i	0.060157735	67.46458527	71.34942585
145	5	g	3	velar	voiced	a	0.047699998	72.54749968	73.86207275
