subject	vot	targetVoicing	continuum	taskRelevance	n1Amplitude	n1Latency	countTargetResponse
10	15	voiced	bilabial	TRUE	-0.41762	102	31
10	15	voiced	alveolar	FALSE	-0.89717	94	0
10	15	voiced	alveolar	TRUE	-0.45642	94	32
10	15	voiceless	bilabial	FALSE	-1.2992	98	0
10	15	voiceless	bilabial	TRUE	-1.3137	78	0
10	15	voiceless	alveolar	FALSE	-0.73074	94	0
10	15	voiceless	alveolar	TRUE	0.44589	98	0
10	20	voiced	bilabial	FALSE	0.17764	94	0
10	20	voiced	bilabial	TRUE	-3.1806	94	9
10	20	voiced	alveolar	FALSE	-2.7124	90	0
10	20	voiced	alveolar	TRUE	1.3635	98	6
10	20	voiceless	bilabial	FALSE	-1.6554	94	0
10	20	voiceless	bilabial	TRUE	-0.93187	102	28
10	20	voiceless	alveolar	FALSE	0.98575	94	0
10	20	voiceless	alveolar	TRUE	0.33925	94	25
10	25	voiced	bilabial	FALSE	-0.70418	98	0
10	25	voiced	bilabial	TRUE	-2.6407	102	1
10	25	voiced	alveolar	FALSE	-4.4108	94	0
10	25	voiced	alveolar	TRUE	3.6149	102	0
10	25	voiceless	bilabial	FALSE	-2.0735	102	0
10	25	voiceless	bilabial	TRUE	-2.4676	94	36
10	25	voiceless	alveolar	FALSE	0.53358	94	0
10	25	voiceless	alveolar	TRUE	-0.60131	94	33
10	30	voiced	bilabial	FALSE	-1.8908	98	0
10	30	voiced	bilabial	TRUE	-4.2086	98	1
10	30	voiced	alveolar	FALSE	-2.9866	94	1
10	30	voiced	alveolar	TRUE	3.6618	114	0
10	30	voiceless	bilabial	FALSE	-3.6971	98	0
10	30	voiceless	bilabial	TRUE	-0.47532	102	30
10	30	voiceless	alveolar	FALSE	1.7667	98	0
10	30	voiceless	alveolar	TRUE	-4.0226	90	19
10	35	voiced	bilabial	FALSE	0.028182	106	0
10	35	voiced	bilabial	TRUE	-0.7109	98	0
10	35	voiced	alveolar	FALSE	1.398	102	0
10	35	voiced	alveolar	TRUE	1.371	102	1
10	35	voiceless	bilabial	FALSE	0.03525	106	0
10	35	voiceless	bilabial	TRUE	-1.007	106	39
10	35	voiceless	alveolar	FALSE	1.1103	106	0
10	35	voiceless	alveolar	TRUE	-0.086427	102	32
10	40	voiced	bilabial	FALSE	0.010534	102	0
10	40	voiced	bilabial	TRUE	-3.0981	94	0
10	40	voiced	alveolar	FALSE	-2.2731	106	0
10	40	voiced	alveolar	TRUE	5.8479	122	1
10	40	voiceless	bilabial	FALSE	-0.84228	98	0
10	40	voiceless	bilabial	TRUE	-0.40593	106	34
10	40	voiceless	alveolar	FALSE	-0.60492	98	0
10	40	voiceless	alveolar	TRUE	1.1433	114	34
11	0	voiced	bilabial	FALSE	-7.0017	58	0
11	0	voiced	bilabial	TRUE	-5.8162	62	29
11	0	voiced	alveolar	FALSE	-1.2328	98	0
11	0	voiced	alveolar	TRUE	-6.0388	110	16
11	0	voiceless	bilabial	FALSE	-7.786	74	0
11	0	voiceless	bilabial	TRUE	-6.0598	90	1
11	0	voiceless	alveolar	FALSE	-6.0808	78	0
11	0	voiceless	alveolar	TRUE	-9.2491	62	0
11	5	voiced	bilabial	FALSE	-5.0782	62	0
11	5	voiced	bilabial	TRUE	-8.6064	62	28
11	5	voiced	alveolar	FALSE	-5.1207	94	0
11	5	voiced	alveolar	TRUE	-5.9595	82	21
11	5	voiceless	bilabial	FALSE	-9.0118	62	0
11	5	voiceless	bilabial	TRUE	-6.8416	78	1
11	5	voiceless	alveolar	FALSE	-7.1299	70	0
11	5	voiceless	alveolar	TRUE	-6.3528	66	0
11	10	voiced	bilabial	FALSE	-8.5037	78	0
11	10	voiced	bilabial	TRUE	-4.3294	94	25
11	10	voiced	alveolar	FALSE	-5.6937	90	0
11	10	voiced	alveolar	TRUE	-5.9297	86	24
11	10	voiceless	bilabial	FALSE	-9.8071	78	0
11	10	voiceless	bilabial	TRUE	-6.447	54	1
11	10	voiceless	alveolar	FALSE	-5.3901	70	0
11	10	voiceless	alveolar	TRUE	-4.7586	74	0
11	15	voiced	bilabial	FALSE	-3.6501	82	0
11	15	voiced	bilabial	TRUE	-5.3105	78	30
11	15	voiced	alveolar	FALSE	-3.2261	114	0
11	15	voiced	alveolar	TRUE	-4.456	94	24
11	15	voiceless	bilabial	FALSE	-2.1664	70	0
11	15	voiceless	bilabial	TRUE	-6.493	74	14
11	15	voiceless	alveolar	FALSE	-7.2077	86	0
11	15	voiceless	alveolar	TRUE	-4.7235	82	1
11	20	voiced	bilabial	FALSE	-5.4687	94	0
11	20	voiced	bilabial	TRUE	-2.9744	94	13
11	20	voiced	alveolar	FALSE	-3.6713	110	1
11	20	voiced	alveolar	TRUE	-1.3011	110	16
11	20	voiceless	bilabial	FALSE	-2.6256	98	0
11	20	voiceless	bilabial	TRUE	-4.2739	62	21
11	20	voiceless	alveolar	FALSE	-5.99	70	0
11	20	voiceless	alveolar	TRUE	-7.6971	42	23
11	25	voiced	bilabial	FALSE	-0.3255	98	0
11	25	voiced	bilabial	TRUE	-2.5726	102	12
11	25	voiced	alveolar	FALSE	-2.3713	62	1
11	25	voiced	alveolar	TRUE	-2.206	98	7
11	25	voiceless	bilabial	FALSE	-6.1576	78	0
11	25	voiceless	bilabial	TRUE	-1.3345	102	36
11	25	voiceless	alveolar	FALSE	-2.7533	94	0
11	25	voiceless	alveolar	TRUE	-4.4602	86	36
11	30	voiced	bilabial	FALSE	-2.0188	106	0
11	30	voiced	bilabial	TRUE	-4.7491	106	2
11	30	voiced	alveolar	FALSE	-5.3036	94	1
11	30	voiced	alveolar	TRUE	-2.7278	102	4
11	30	voiceless	bilabial	FALSE	-8.5458	62	0
11	30	voiceless	bilabial	TRUE	-2.2837	110	32
11	30	voiceless	alveolar	FALSE	-0.6894	114	0
11	30	voiceless	alveolar	TRUE	-7.4272	70	25
11	35	voiced	bilabial	FALSE	-7.9423	86	0
11	35	voiced	bilabial	TRUE	-7.7298	90	0
11	35	voiced	alveolar	FALSE	-0.70829	82	0
11	35	voiced	alveolar	TRUE	-1.4962	74	3
11	35	voiceless	bilabial	FALSE	-2.8584	102	0
11	35	voiceless	bilabial	TRUE	-2.4413	102	35
11	35	voiceless	alveolar	FALSE	-5.3665	54	0
11	35	voiceless	alveolar	TRUE	-3.1696	106	31
11	40	voiced	bilabial	FALSE	-4.2438	98	0
11	40	voiced	bilabial	TRUE	0.25973	106	0
11	40	voiced	alveolar	FALSE	-2.9205	94	0
11	40	voiced	alveolar	TRUE	-3.9174	110	1
11	40	voiceless	bilabial	FALSE	-0.389	102	0
11	40	voiceless	bilabial	TRUE	-5.5165	82	35
11	40	voiceless	alveolar	FALSE	-2.6035	94	1
11	40	voiceless	alveolar	TRUE	-4.3379	74	25
12	0	voiced	bilabial	FALSE	-6.3929	74	0
12	0	voiced	bilabial	TRUE	-6.6243	70	33
12	0	voiced	alveolar	FALSE	-4.1525	82	1
12	0	voiced	alveolar	TRUE	-4.5154	66	25
12	0	voiceless	bilabial	FALSE	-8.3557	78	0
12	0	voiceless	bilabial	TRUE	-4.3379	82	1
12	0	voiceless	alveolar	FALSE	-4.6948	78	0
12	0	voiceless	alveolar	TRUE	-3.2933	78	0
12	5	voiced	bilabial	FALSE	-3.1321	54	0
12	5	voiced	bilabial	TRUE	-7.158	50	30
12	5	voiced	alveolar	FALSE	-3.6872	62	0
12	5	voiced	alveolar	TRUE	-6.5522	66	28
12	5	voiceless	bilabial	FALSE	-6.6511	70	0
12	5	voiceless	bilabial	TRUE	-4.6995	70	0
12	5	voiceless	alveolar	FALSE	-5.8535	62	0
12	5	voiceless	alveolar	TRUE	-5.1866	70	1
12	10	voiced	bilabial	FALSE	-3.8861	82	0
12	10	voiced	bilabial	TRUE	-3.8477	74	34
12	10	voiced	alveolar	FALSE	-3.4951	42	0
12	10	voiced	alveolar	TRUE	-4.847	66	33
12	10	voiceless	bilabial	FALSE	-3.0978	114	0
12	10	voiceless	bilabial	TRUE	-5.0559	70	2
12	10	voiceless	alveolar	FALSE	-1.1719	78	0
12	10	voiceless	alveolar	TRUE	-5.761	66	0
12	15	voiced	bilabial	FALSE	-3.5396	78	0
12	15	voiced	bilabial	TRUE	-4.948	74	39
12	15	voiced	alveolar	FALSE	0.39867	74	0
12	15	voiced	alveolar	TRUE	-5.9462	66	29
12	15	voiceless	bilabial	FALSE	-5.0168	82	0
12	15	voiceless	bilabial	TRUE	-1.4789	82	2
12	15	voiceless	alveolar	FALSE	-3.4162	70	0
12	15	voiceless	alveolar	TRUE	-2.8895	86	2
12	20	voiced	bilabial	FALSE	-2.2709	78	0
12	20	voiced	bilabial	TRUE	-5.0114	82	16
12	20	voiced	alveolar	FALSE	-5.4954	66	0
12	20	voiced	alveolar	TRUE	-4.4145	66	12
12	20	voiceless	bilabial	FALSE	-6.6039	82	0
12	20	voiceless	bilabial	TRUE	-4.0311	62	23
12	20	voiceless	alveolar	FALSE	-3.554	70	0
12	20	voiceless	alveolar	TRUE	-3.803	86	25
12	25	voiced	bilabial	FALSE	-4.0737	74	0
12	25	voiced	bilabial	TRUE	-6.1355	86	8
12	25	voiced	alveolar	FALSE	-5.4576	66	0
12	25	voiced	alveolar	TRUE	-4.3798	66	5
12	25	voiceless	bilabial	FALSE	-6.7946	58	0
12	25	voiceless	bilabial	TRUE	-6.9681	38	31
12	25	voiceless	alveolar	FALSE	-3.1026	86	0
12	25	voiceless	alveolar	TRUE	-5.4492	74	36
12	30	voiced	bilabial	FALSE	-3.5279	82	0
12	30	voiced	bilabial	TRUE	-6.8089	54	1
12	30	voiced	alveolar	FALSE	-3.3498	86	0
12	30	voiced	alveolar	TRUE	-3.991	70	0
12	30	voiceless	bilabial	FALSE	-5.2763	74	0
12	30	voiceless	bilabial	TRUE	-3.4765	90	31
12	30	voiceless	alveolar	FALSE	-5.5598	98	0
12	30	voiceless	alveolar	TRUE	-6.6104	74	28
12	35	voiced	bilabial	FALSE	-3.6602	70	0
12	35	voiced	bilabial	TRUE	-2.4592	78	0
12	35	voiced	alveolar	FALSE	-4.2513	78	0
12	35	voiced	alveolar	TRUE	-3.4577	78	1
12	35	voiceless	bilabial	FALSE	-5.2138	66	0
12	35	voiceless	bilabial	TRUE	0.22633	122	30
12	35	voiceless	alveolar	FALSE	-2.2523	70	0
12	35	voiceless	alveolar	TRUE	-4.016	86	33
12	40	voiced	bilabial	FALSE	-3.0573	102	0
12	40	voiced	bilabial	TRUE	-3.5676	86	0
12	40	voiced	alveolar	FALSE	-4.5002	86	0
12	40	voiced	alveolar	TRUE	-1.7322	106	0
12	40	voiceless	bilabial	FALSE	-0.5902	122	0
12	40	voiceless	bilabial	TRUE	-2.7509	106	35
12	40	voiceless	alveolar	FALSE	-8.958	78	0
12	40	voiceless	alveolar	TRUE	-3.2897	78	29
13	0	voiced	bilabial	FALSE	-3.3612	90	0
13	0	voiced	bilabial	TRUE	-0.87708	106	29
13	0	voiced	alveolar	FALSE	-2.7733	78	0
13	0	voiced	alveolar	TRUE	-1.1635	90	29
13	0	voiceless	bilabial	FALSE	1.3526	106	0
13	0	voiceless	bilabial	TRUE	-1.859	90	0
13	0	voiceless	alveolar	FALSE	-0.12329	106	0
13	0	voiceless	alveolar	TRUE	5.093	118	1
13	5	voiced	bilabial	FALSE	-1.6541	94	0
13	5	voiced	bilabial	TRUE	-1.3224	90	32
13	5	voiced	alveolar	FALSE	-3.1791	90	0
13	5	voiced	alveolar	TRUE	-0.65729	82	22
13	5	voiceless	bilabial	FALSE	0.020968	114	0
13	5	voiceless	bilabial	TRUE	-1.4515	110	0
13	5	voiceless	alveolar	FALSE	-3.1	86	0
13	5	voiceless	alveolar	TRUE	2.7193	102	0
13	10	voiced	bilabial	FALSE	-1.9596	94	0
13	10	voiced	bilabial	TRUE	0.80994	110	35
13	10	voiced	alveolar	FALSE	-1.1963	106	0
13	10	voiced	alveolar	TRUE	-2.2556	98	30
13	10	voiceless	bilabial	FALSE	1.23	114	0
13	10	voiceless	bilabial	TRUE	-1.1135	102	7
13	10	voiceless	alveolar	FALSE	-3.3115	102	0
13	10	voiceless	alveolar	TRUE	-1.4593	94	0
13	15	voiced	bilabial	FALSE	0.99319	114	0
13	15	voiced	bilabial	TRUE	-2.5593	94	31
13	15	voiced	alveolar	FALSE	0.72472	114	0
13	15	voiced	alveolar	TRUE	-1.5766	86	34
13	15	voiceless	bilabial	FALSE	3.1141	114	1
13	15	voiceless	bilabial	TRUE	1.0574	114	7
13	15	voiceless	alveolar	FALSE	-2.2263	90	0
13	15	voiceless	alveolar	TRUE	2.7554	114	2
13	20	voiced	bilabial	FALSE	-0.49628	122	0
13	20	voiced	bilabial	TRUE	1.6544	114	15
13	20	voiced	alveolar	FALSE	0.73018	122	0
13	20	voiced	alveolar	TRUE	0.60264	86	18
13	20	voiceless	bilabial	FALSE	3.1832	118	0
13	20	voiceless	bilabial	TRUE	0.64634	122	15
13	20	voiceless	alveolar	FALSE	0.18713	114	0
13	20	voiceless	alveolar	TRUE	1.1959	114	19
13	25	voiced	bilabial	FALSE	-0.086901	110	0
